Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,SwiGlu,AI_VECTOR_CORE,23,1843,4.560,1764309593954557.010	,1764309593954561.570	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1844,611.520,1764309593954561.590	,1764309593955173.110	
4,AddRmsNorm,AI_VECTOR_CORE,23,1845,2.040,1764309593955173.130	,1764309593955175.170	
4,trans_TransData_1,AI_VECTOR_CORE,23,1846,10.840,1764309593955175.190	,1764309593955186.030	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,1847,9.180,1764309593955186.050	,1764309593955195.230	
4,rope_custom_true_half,AI_CORE,23,1848,6.340,1764309593955195.250	,1764309593955201.590	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,1849,2.880,1764309593955201.610	,1764309593955204.490	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1850,601.600,1764309593955204.530	,1764309593955806.130	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1850,599.960,1764309593955205.430	,1764309593955805.390	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1851,16.400,1764309593955806.150	,1764309593955822.550	
4,AddRmsNorm,AI_VECTOR_CORE,23,1852,3.000,1764309593955822.570	,1764309593955825.570	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1853,629.000,1764309593955825.590	,1764309593956454.590	
4,SwiGlu,AI_VECTOR_CORE,23,1854,5.420,1764309593956454.610	,1764309593956460.030	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1855,613.120,1764309593956460.050	,1764309593957073.170	
4,AddRmsNorm,AI_VECTOR_CORE,23,1856,2.180,1764309593957073.190	,1764309593957075.370	
4,trans_TransData_1,AI_VECTOR_CORE,23,1857,10.100,1764309593957075.390	,1764309593957085.490	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,1858,611.000,1764309593957085.510	,1764309593957696.510	
4,rope_custom_true_half,AI_CORE,23,1859,4.900,1764309593957696.530	,1764309593957701.430	
